Btl_Cnt,Depthm,T_degC,Salnty,O2ml_L,STheta
752915,230,8.18,34.022,2.67,26.483
208656,50,13.23,33.529,4.78,25.21
266249,50,11.91,33.297,5.24,25.285
729171,377,6.76,34.152,1.12,26.788
58675,900,4.05,34.345,0.39,27.267
169488,242,7.4,34,,26.579
228952,155,9.76,33.44,4.28,25.777
746723,437,6.63,34.274,0.5,26.903
360174,400,8.85,34.496,0.4,26.755
677504,319,7.41,34.082,1.99,26.643
418288,0,15.1,33.44,,24.748
778242,119,9.57,33.817,3.03,26.102
108129,30,17.37,33.921,5.38,24.6
876523,320,7.356,34.0746,1.681,26.64916
792082,0,18.06,33.61,5.58,24.19
140395,300,7.76,34.159,1.16,26.653
178950,250,10.56,34.6,,26.548
82552,46,14.43,,5.84,
847857,87,12.507,33.1516,5.469,25.06233
855183,250,8.482,33.9307,3.077,26.36979
509417,174,8.85,33.968,,26.337
165291,0,18.36,33.39,,23.952
346572,70,16.29,33.685,5.46,24.674
144339,19,14.9,33.27,5.64,24.661
556559,500,6.53,34.305,0.45,26.941
245849,204,12.12,34.67,0.36,26.316
187388,600,5.53,34.41,0.36,27.151
867086,50,10.008,33.7166,3.263,25.95082
300193,12,13.7,32.95,5.95,24.666
570229,298,7.36,34.015,2.91,26.597
455766,75,11.46,33.15,,25.255
719059,166,8.82,34.026,2.27,26.387
119523,632,5.1,34.29,0.29,27.107
27138,108,13.05,33.42,5.61,25.163
328622,300,6.5,34.091,1.26,26.774
852853,320,8.238,34.2784,0.824,26.68169
593717,63,10.69,33.693,3.73,25.814
429653,78,9.4,,3.42,
56412,125,18.69,34.816,5.2,24.966
802313,300,8.15,34.24,1.1,26.659
807859,140,9.01,33.914,2.64,26.269
197314,64,9.86,33.58,,25.868
814088,30,12.86,33.009,5.94,24.88
560591,139,9.42,33.889,2.92,26.184
434653,250,9.42,34.29,,26.499
556054,37,,,,
831163,440,6.14,34.131,0.86,26.853
102519,293,8.68,34.31,,26.634
151692,0,15.88,33.16,5.85,24.36
140254,75,11.36,32.933,5.82,25.104
809190,320,7.36,34.06,1.75,26.633
267261,100,9.47,33.539,4.63,25.901
533773,129,10.15,33.99,2.73,26.141
102528,600,5.91,34.419,,27.112
60770,760,4.82,34.32,0.36,27.164
521771,195,8.98,33.897,3.56,26.261
813573,40,10.54,33.7,2.88,25.846
416174,500,5.57,34.166,0.74,26.952
61114,300,8.01,34.111,1.2,26.579
360197,200,10.4,34.389,1.09,26.411
316144,593,4.97,,0.54,
782288,250,9.14,34.177,1.76,26.456
100548,24,,,4.9,
528698,500,5.72,34.252,0.49,27.002
749103,437,6.21,34.15,0.88,26.859
95746,1100,3.68,,0.68,
651349,300,7.08,34.033,2.31,26.65
59536,184,9.13,33.48,4.86,25.911
721092,150,10.54,33.659,4.15,25.816
678742,30,11.22,33.406,4.39,25.496
693918,379,6.54,34.056,1.72,26.742
417077,400,6.86,34.27,,26.868
45100,1100,3.3,34.473,0.49,27.444
226082,235,11.53,34.78,0.3,26.513
385166,125,9.32,33.862,3.54,26.178
663347,93,13.16,33.082,5.87,24.879
80724,30,15.67,33.275,5.31,24.497
816230,400,6.3,34.119,0.81,26.823
334522,1,14.26,33.134,5.91,24.692
816496,200,8.22,33.965,3.14,26.432
504970,50,15.83,33.52,,24.65
541358,50,13.08,33.479,,25.201
876104,20,16.026,33.5748,5.773,24.64791
823773,125,12.85,33.475,5.34,25.245
436168,100,14.13,33.513,5.99,25.015
646181,100,14.46,33.452,5.88,24.898
548036,200,8.03,34.174,,26.624
681044,100,14.26,33.431,5.62,24.924
43849,125,9.65,33.602,3.86,25.921
838751,0,16.667,33.4335,5.841,24.39096
607947,100,7.76,33.904,,26.45
884858,500,6.294,34.3016,0.369,26.9749
686212,97,14.95,33.359,5.74,24.722
145999,600,5.77,34.38,0.21,27.098
785139,0,12.9,33.47,6.02,25.23
573771,103,10.58,33.835,2.73,25.945
251594,200,11.04,34.583,0.56,26.448
20339,0,19.5,33.13,4.77,23.467
200616,522,6.78,34.48,0.24,27.046
842020,10,15.923,33.5081,5.717,24.61919
173111,400,7.76,34.402,,26.846
852107,100,10.717,33.3649,4.483,25.55697
466997,76,7.48,32.86,5.81,25.669
555904,30,,,,
833230,40,11.777,33.268,6.129,25.2876
374860,144,10.26,34.055,2.5,26.173
442580,50,11.3,32.82,,25.026
760616,0,15.32,33.14,5.79,24.47
244742,180,10.04,34.04,2.56,26.199
139037,19,18.64,34.05,5.41,24.388
338588,250,8.86,34.296,1.08,26.594
508898,0,13.9,33.6,,25.127
287742,50,12.56,32.955,6.09,24.897
611800,80,11.45,33.185,,25.284
610345,471,5.76,34.122,0.98,26.894
367684,30,18.75,33.313,5.59,23.798
312635,349,6.99,34.22,0.95,26.81
366919,250,9.3,34.416,0.98,26.617
123450,18,16.18,33.51,,24.562
771277,199,8.61,33.992,2.94,26.393
246224,0,21.84,34.66,4.81,24.006
710433,400,6.14,34.052,1.52,26.79
703054,3,15.32,33.52,,
684163,437,6.19,34.148,0.93,26.86
294510,9,20.27,33.86,5.28,23.823
178098,200,10,34.22,,26.347
823347,12,18.39,33.505,6.2,24.033
585222,84,14.48,33.214,5.99,24.71
560974,250,8.41,33.996,2.89,26.428
203385,10,24.18,34.92,5.07,23.53
43455,50,13.57,33.306,6.02,24.969
799462,90,12.24,32.978,5.8,24.977
225996,175,11.74,34.58,,26.317
419781,10,11.08,32.87,,25.104
525870,200,8.92,34.189,1.91,26.5
354192,29,15.3,32.882,5.7,24.276
277398,150,9.28,33.898,2.43,26.214
600306,100,10,33.787,3.27,26.007
499099,30,14.01,33.63,,25.128
99626,30,12.25,,,
757290,250,7.73,34.074,2.02,26.59
44184,739,4.75,34.49,0.32,27.306
147651,27,10.97,33.59,4.57,25.684
419350,10,10.66,32.97,,25.255
401023,105,12.06,33.291,5.4,25.254
612493,449,5.93,34.139,0.82,26.886
572982,30,,,,
397691,296,8.69,34.369,0.74,26.678
516272,75,12.12,33.198,5.56,25.17
229272,43,14.42,33.51,5.17,24.95
643652,461,5.32,34.142,0.65,26.962
798317,1,22.02,33.556,,
411658,300,7.04,34.02,,26.645
665326,100,10.11,33.702,3.28,25.922
468063,4400,1.52,34.688,3.29,27.785
519576,10,13.95,32.843,5.99,24.532
672773,150,10.17,33.432,4.68,25.702
571483,300,6.96,34.091,1.64,26.712
482217,175,9.09,33.93,,26.269
594423,50,12.69,33.344,5.62,25.173
397610,20,18.43,,,
632558,52,18.62,33.372,5.63,23.876
695820,114,13.97,33.417,5.66,24.974
208395,71,14.4,33.48,5.88,24.932
163526,272,7.02,34.1,1.66,26.711
232124,30,13.86,33.607,5.39,25.141
505337,75,12.78,33.63,,25.378
869057,17,15.868,33.2882,5.984,24.46295
837531,69,10.363,33.7308,3.562,25.90225
237505,75,9.31,33.833,3.03,26.156
171249,21,13,33.32,,25.093
580050,0,18.29,33.374,5.49,23.957
631159,20,19.02,33.617,,23.961
697722,85,13.07,33.388,5.28,25.133
713979,268,8.12,34.198,1.41,26.63
794745,0,11.78,33.151,6.43,25.195
488275,500,7.09,34.43,,26.964
552274,0,20.9,33.283,5.38,23.216
445273,50,10.76,33.33,,25.519
658471,150,10.08,33.822,3.07,26.022
728949,20,16.03,33.483,5.7,24.576
321805,200,8.58,34.158,1.32,26.528
802517,40,14.42,33.277,5.84,24.77
828411,70,11.05,33.472,5,25.579
377219,63,10.6,33.555,,25.723
668578,50,15.41,33.123,5.74,24.438
460279,30,12.13,32.87,,24.912
167822,9,19.02,33.93,,24.2
438820,354,7.79,,1.44,
108069,99,12.46,33.62,3.83,25.433
873064,2,18.423,33.4913,5.486,24.0141
347143,1,13.8,33.516,5.93,25.083
346683,300,9.24,34.434,0.5,26.642
6960,700,4.16,34.265,0.53,27.19
211785,905,4.59,34.52,0.33,27.349
634469,500,6.45,34.308,0.4,26.954
213999,75,12.31,33.273,5.27,25.192
216858,30,8.69,33.726,4.59,26.17
19221,500,6.49,34.31,0.68,26.95
400934,218,9.62,33.908,4.34,26.167
402255,150,8.79,34.003,2.49,26.373
214422,61,16.35,35.15,3.73,25.785
670301,31,15.54,33.186,5.77,24.457
46486,10,14.84,33.13,4.93,24.566
408740,250,8.46,34.01,,26.431
861598,125,10.345,33.3443,4.566,25.60615
714014,300,7.52,34.219,1.1,26.735
587560,611,5.28,34.323,0.33,27.112
79657,143,9.94,,3.88,
354566,500,5.77,34.135,0.87,26.903
38234,800,4.84,34.426,0.37,27.246
357944,700,4.83,34.341,0.45,27.179
600890,398,6.43,34.106,1.25,26.796
694682,500,5.69,34.087,1.13,26.875
782981,300,7.95,34.171,1.39,26.635
245871,114,15.5,34.52,1.27,25.496
504179,20,16.38,33.65,,24.624
828687,321,7.71,34.241,0.72,26.725
499277,275,8.5,34.24,,26.606
207365,200,8.89,34.129,1.44,26.457
37407,205,8.3,34.13,1.85,26.549
75058,30,14.73,,5.55,
322378,20,15.65,33.77,5.86,24.882
456469,131,6.91,32.87,6.35,25.755
110134,10,17.45,33.98,5.45,24.626
389927,324,7.19,34.176,1.39,26.748
414150,150,9.79,33.902,3.04,26.133
443988,377,6.21,34.078,1.57,26.802
880609,2,19.56,33.8716,5.35,24.01706
755741,437,6.09,34.15,0.82,26.87
845880,500,6.25,34.3117,0.286,26.98849
53717,20,18.3,33.146,5.27,23.781
66551,300,7.7,,2.07,
284944,564,6.64,34.39,0.19,26.994
842289,300,7.623,34.0386,2.145,26.58257
159549,28,11.83,33.47,,25.434
498489,77,9.97,33.768,4.03,25.997
546235,275,7.65,34.024,,26.563
507750,300,7.81,34.12,,26.615
227794,43,20.86,34.73,3.85,24.33
363406,700,4.96,34.381,0.4,27.196
61731,402,6.07,34.13,0.72,26.861
185770,100,12.18,34.16,,25.905
756128,250,8.41,34.01,2.55,26.439
89336,20,17.2,,4.77,
365512,38,14.28,33.567,5.67,25.023
